limits,pthread,28,7,0.00,1.80,0.28
limits,pthread,28,7,0.00,1.81,0.28
limits,pthread,28,7,0.00,1.80,0.29
limits,pthread,28,8,0.00,1.94,0.30
limits,pthread,28,8,0.00,1.97,0.28
limits,pthread,28,8,0.00,1.95,0.27
limits,tbb,28,1,0.00,1.92,0.24
limits,tbb,28,1,0.00,1.91,0.24
limits,tbb,28,1,0.00,1.92,0.24
limits,tbb,28,2,0.00,1.92,0.24
limits,tbb,28,2,0.00,1.91,0.24
limits,tbb,28,2,0.00,1.92,0.24
limits,tbb,28,3,0.00,1.91,0.24
limits,tbb,28,3,0.00,1.92,0.24
limits,tbb,28,3,0.00,1.91,0.24
limits,tbb,28,4,0.00,1.91,0.24
limits,tbb,28,4,0.00,1.92,0.24
limits,tbb,28,4,0.00,1.91,0.24
limits,tbb,28,5,0.00,1.91,0.24
limits,tbb,28,5,0.00,1.91,0.24
limits,tbb,28,5,0.00,1.92,0.24
limits,tbb,28,6,0.00,1.91,0.24
limits,tbb,28,6,0.00,1.91,0.24
limits,tbb,28,6,0.00,1.90,0.24
limits,tbb,28,7,0.00,1.91,0.24
limits,tbb,28,7,0.00,1.92,0.24
limits,tbb,28,7,0.00,1.92,0.24
limits,tbb,28,8,0.00,1.90,0.24
limits,tbb,28,8,0.00,1.93,0.24
limits,tbb,28,8,0.00,1.92,0.24
draw,serial,28,1,0.34,4.34,4.77
draw,serial,28,1,0.29,4.35,4.75
draw,serial,28,1,0.32,4.33,4.74
limits,serial,28,1,0.00,1.35,1.36
limits,serial,28,1,0.00,1.34,1.34
limits,serial,28,1,0.00,1.33,1.34
draw,pthread,28,1,0.33,4.45,4.87
draw,pthread,28,1,0.31,4.40,4.84
draw,pthread,28,1,0.33,4.44,4.88
draw,pthread,28,2,0.34,4.18,3.03
draw,pthread,28,2,0.31,4.23,3.07
draw,pthread,28,2,0.34,4.28,3.12
draw,pthread,28,3,0.33,4.37,2.67
draw,pthread,28,3,0.37,4.39,2.67
draw,pthread,28,3,0.36,4.33,2.62
draw,pthread,28,4,0.39,4.33,2.32
draw,pthread,28,4,0.39,4.28,2.30
draw,pthread,28,4,0.34,4.52,2.43
draw,pthread,28,5,0.34,4.99,2.50
draw,pthread,28,5,0.38,5.10,2.55
